Series_Title,Genre,IMDB_Rating
Bajrangi Bhaijaan,"Action, Adventure, Comedy",8
Baby,"Action, Crime, Thriller",8
La La Land,"Comedy, Drama, Music",8
Lion,"Biography, Drama",8
The Martian,"Adventure, Drama, Sci-Fi",8
Zootopia,"Animation, Adventure, Comedy",8
Bãhubali: The Beginning,"Action, Drama",8
Kaguyahime no monogatari,"Animation, Adventure, Drama",8
Wonder,"Drama, Family",8
Gully Boy,"Drama, Music, Romance",8
Special Chabbis,"Crime, Drama, Thriller",8
Short Term 12,Drama,8
Serbuan maut 2: Berandal,"Action, Crime, Thriller",8
The Imitation Game,"Biography, Drama, Thriller",8
Guardians of the Galaxy,"Action, Adventure, Comedy",8
Blade Runner 2049,"Action, Drama, Mystery",8
Her,"Drama, Romance, Sci-Fi",8
Bohemian Rhapsody,"Biography, Drama, Music",8
The Revenant,"Action, Adventure, Drama",8
The Perks of Being a Wallflower,"Drama, Romance",8
Tropa de Elite 2: O Inimigo Agora é Outro,"Action, Crime, Drama",8
The King's Speech,"Biography, Drama, History",8
The Help,Drama,8
Deadpool,"Action, Adventure, Comedy",8
Darbareye Elly,"Drama, Mystery",8
Dev.D,"Drama, Romance",8
Yip Man,"Action, Biography, Drama",8
My Name Is Khan,Drama,8
Nefes: Vatan Sagolsun,"Action, Drama, Thriller",8
Slumdog Millionaire,"Drama, Romance",8
Black Swan,"Drama, Thriller",8
Tropa de Elite,"Action, Crime, Drama",8
The Avengers,"Action, Adventure, Sci-Fi",8
Persepolis,"Animation, Biography, Drama",8
Dallas Buyers Club,"Biography, Drama",8
The Pursuit of Happyness,"Biography, Drama",8
Blood Diamond,"Adventure, Drama, Thriller",8
The Bourne Ultimatum,"Action, Mystery, Thriller",8
Bin-jip,"Crime, Drama, Romance",8
Sin City,"Crime, Thriller",8
Le scaphandre et le papillon,"Biography, Drama",8
G.O.R.A.,"Adventure, Comedy, Sci-Fi",8
Ratatouille,"Animation, Adventure, Comedy",8
Casino Royale,"Action, Adventure, Thriller",8
Kill Bill: Vol. 2,"Action, Crime, Thriller",8
Vozvrashchenie,Drama,8
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,"Drama, Romance",8
Mar adentro,"Biography, Drama",8
Cinderella Man,"Biography, Drama, History",8
Kal Ho Naa Ho,"Comedy, Drama, Musical",8
Mou gaan dou,"Action, Crime, Drama",8
Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",8
Big Fish,"Adventure, Drama, Fantasy",8
The Incredibles,"Animation, Action, Adventure",8
Yeopgijeogin geunyeo,"Comedy, Drama, Romance",8
Dogville,"Crime, Drama",8
Vizontele,"Comedy, Drama",8
Donnie Darko,"Drama, Mystery, Sci-Fi",8
Magnolia,Drama,8
Dancer in the Dark,"Crime, Drama, Musical",8
The Straight Story,"Biography, Drama",8
Pâfekuto burû,"Animation, Crime, Mystery",8
Festen,Drama,8
Central do Brasil,Drama,8
The Iron Giant,"Animation, Action, Adventure",8
Knockin' on Heaven's Door,"Action, Crime, Comedy",8
Sling Blade,Drama,8
Secrets & Lies,"Comedy, Drama",8
Twelve Monkeys,"Mystery, Sci-Fi, Thriller",8
Kôkaku Kidôtai,"Animation, Action, Crime",8
The Nightmare Before Christmas,"Animation, Family, Fantasy",8
Groundhog Day,"Comedy, Fantasy, Romance",8
Bound by Honor,"Crime, Drama",8
Scent of a Woman,Drama,8
Aladdin,"Animation, Adventure, Comedy",8
JFK,"Drama, History, Thriller",8
Beauty and the Beast,"Animation, Family, Fantasy",8
Dances with Wolves,"Adventure, Drama, Western",8
Do the Right Thing,"Comedy, Drama",8
Rain Man,Drama,8
